дата,выход,направление
2019-08-16,61.38259802775324,ш
2019-08-19,61.363104072778924,л
2019-08-20,61.295627158206116,л
2019-08-21,61.39653145130407,л
2019-08-22,61.40273709290154,ш
2019-08-23,61.321333770117356,л
2019-08-26,61.57192354265846,л
2019-08-27,61.571434016866874,л
2019-08-28,61.72602530225539,л
2019-08-29,61.772077455492315,ш
2019-08-30,61.71651027866105,л
2019-09-02,61.96430711451945,л
2019-09-03,61.947033282252825,л
2019-09-04,62.07514502853688,л
2019-09-05,62.086709067841156,л
2019-09-06,61.99050085179648,л
2019-09-09,62.099361036267716,л
2019-09-10,62.02881216288504,ш
2019-09-11,62.10730642218213,ш
2019-09-12,62.07458260311681,ш
2019-09-13,61.94087451238936,л
2019-09-16,61.98859004964542,ш
2019-09-17,61.916829494074925,л
2019-09-18,62.00393398920835,л
2019-09-19,61.98931164559813,л
2019-09-20,61.88256796245976,ш
2019-09-23,62.0541678841158,ш
2019-09-24,62.033589160855584,ш
2019-09-25,62.174226021942786,ш
2019-09-26,62.21381024376453,л
2019-09-27,62.160262322131516,л
2019-09-30,62.469461587039916,ш
2019-10-01,62.48274686868911,ш
2019-10-02,62.64936865252763,л
2019-10-03,62.70627511782662,л
2019-10-04,62.660863710146124,л
2019-10-07,62.93822992961512,ш
2019-10-08,62.92313420310847,л
2019-10-09,63.05361090899462,л
2019-10-10,63.067612212756664,ш
2019-10-11,62.973716458398926,ш
2019-10-14,63.085785911681796,л
2019-10-15,63.013823897377826,ш
2019-10-16,63.08896820806768,ш
2019-10-17,63.05052504876262,л
2019-10-18,62.90830484008772,ш
2019-10-21,62.90989475798001,ш
2019-10-22,62.814827562378326,л
2019-10-23,62.87426012568832,ш
2019-10-24,62.82745426042879,л
2019-10-25,62.68393610375425,ш
2019-10-28,62.717874001912726,ш
2019-10-29,62.64267817304061,л
2019-10-30,62.72466361460168,л
2019-10-31,62.70182887884378,ш
2019-11-01,62.582394755439076,ш
2019-11-05,62.613296543769316,л
2019-11-06,62.701692854706764,л
2019-11-07,62.67887196074247,л
2019-11-08,62.55250424906202,ш
2019-11-11,62.581848031599556,л
2019-11-12,62.48291896198926,л
2019-11-13,62.52917453935769,л
2019-11-14,62.4586371786446,л
2019-11-15,62.27993433636396,л
2019-11-18,62.13633856685652,ш
2019-11-19,61.978898116840476,ш
2019-11-20,61.968575948515216,л
2019-11-21,61.84482696310937,л
2019-11-22,61.61767195803941,л
2019-11-25,61.369974025716026,ш
2019-11-26,61.19521816058869,ш
2019-11-27,61.17771591402885,л
2019-11-28,61.05753089528126,л
2019-11-29,60.845108723841754,л
2019-12-02,60.71009035950595,л
2019-12-03,60.59531758105953,л
2019-12-04,60.64839633772758,л
2019-12-05,60.60880444687517,ш
2019-12-06,60.486280533267795,л
2019-12-09,60.66829579190571,л
2019-12-10,60.671807564685984,л
2019-12-11,60.84777834915634,л
2019-12-12,60.93463540248521,ш
2019-12-16,60.57226503644286,ш
2019-12-17,60.46881261548157,ш
